query-id	corpus-id	score
6114742-1	21562460	1
6114742-1	25116780	1
6114742-1	25283612	1
6114742-1	12948318	1
6114742-1	23730116	1
6114742-1	19545803	1
6114742-1	22388776	0
6114742-1	11158810	1
6114742-1	19507791	1
6114742-1	33136690	0
6114742-1	17159449	0
6114742-1	31146719	1
6114742-1	19969225	0
6114742-1	11777707	1
6114742-1	27722755	1
6114742-1	29685778	1
6114742-1	326304	1
6114742-1	19393880	0
6114742-1	31272230	1
6114742-1	10939723	1
6114742-1	15474840	0
6114742-1	11955919	0
6114742-1	18361976	1
6114742-1	22575848	1
6114742-1	16039488	1
6114742-1	19244949	0
6114742-1	23640043	0
6114742-1	22055077	0
6114742-1	17156845	1
6114742-1	10504084	0
6114742-1	22256561	1
6114742-1	30652768	1
6114742-1	31574802	1
6114742-1	20610097	1
6114742-1	23522587	1
6114742-1	19123148	1
6114742-1	12388043	0
6114742-1	26840163	1
6114742-1	20598749	1
6114742-1	30868919	0
6114742-1	7924850	0
6114742-1	23225835	0
6114742-1	23447898	1
6114742-1	9641421	1
6114742-1	16710439	1
6114742-1	32295643	0
6114742-1	26856423	1
6114742-1	27191667	0
6114742-1	23380407	1
6114742-1	15921756	1
6390241-1	8427992	0
6390241-1	23046169	0
6390241-1	21831149	0
6390241-1	21561403	0
6390241-1	24408225	0
6390241-1	29959617	0
6390241-1	29578925	0
6390241-1	34819489	0
6390241-1	23458177	0
6390241-1	30340563	0
6390241-1	1750432	0
6390241-1	27459964	1
6390241-1	22644982	1
6390241-1	34253224	0
6390241-1	18188608	0
6390241-1	28905389	1
6390241-1	33678802	0
6390241-1	25913358	0
6390241-1	26819490	0
6390241-1	22956028	0
6390241-1	20359364	0
6390241-1	29254492	0
6390241-1	27913482	0
6390241-1	31164092	0
6390241-1	8447310	0
6390241-1	16823816	0
6390241-1	27861383	0
6390241-1	16316366	0
6390241-1	3389383	0
6390241-1	19890748	0
6390241-1	21729272	0
6390241-1	29197349	0
6390241-1	34463673	0
6390241-1	32222713	0
6390241-1	16315256	0
6390241-1	23230076	0
6390241-1	16791603	0
6390241-1	26759144	0
6390241-1	20211921	0
6390241-1	12324938	0
6390241-1	12141954	0
6390241-1	15647736	0
6390241-1	27107813	0
6390241-1	23352254	0
6390241-1	24556714	0
6390241-1	19998467	0
6390241-1	20673894	0
6390241-1	21943175	0
6390241-1	16893410	0
6390241-1	32981026	0
6395427-6	30371597	1
6395427-6	25873086	1
6395427-6	29681780	1
6395427-6	30630744	1
6395427-6	32513902	1
6395427-6	29137032	1
6395427-6	23486330	1
6395427-6	25306157	1
6395427-6	17538171	0
6395427-6	30065620	1
6395427-6	22542580	1
6395427-6	34374683	1
6395427-6	33020231	1
6395427-6	32950063	2
6395427-6	32191718	1
6395427-6	29124281	1
6395427-6	17134022	1
6395427-6	27771729	0
6395427-6	21156466	1
6395427-6	32680923	1
6395427-6	28735662	0
6395427-6	22547387	1
6395427-6	32614358	1
6395427-6	27227942	1
6395427-6	32673997	0
6395427-6	29748233	1
6395427-6	21360009	1
6395427-6	30674489	1
6395427-6	20489107	1
6395427-6	29137018	1
6395427-6	26637204	1
6395427-6	22785503	1
6395427-6	28977663	1
6395427-6	24873798	1
6395427-6	12883728	1
6395427-6	16157528	1
6395427-6	16847367	1
6395427-6	11774391	1
6395427-6	27645693	1
6395427-6	17561590	1
6395427-6	22484984	1
6395427-6	25377897	1
6395427-6	9443745	1
6395427-6	29716554	1
6395427-6	14745871	1
6395427-6	18356668	1
6395427-6	9396878	1
6395427-6	9016218	1
6395427-6	19937406	1
