query-id	corpus-id	score
6114742-1	21562460	1
6114742-1	25116780	1
6114742-1	25283612	1
6114742-1	12948318	1
6114742-1	23730116	1
6114742-1	19545803	1
6114742-1	22388776	0
6114742-1	11158810	1
6114742-1	19507791	1
6114742-1	33136690	0
6390241-1	8427992	0
6390241-1	23046169	0
6390241-1	21831149	0
6390241-1	21561403	0
6390241-1	24408225	0
6390241-1	29959617	0
6390241-1	29578925	0
6390241-1	34819489	0
6390241-1	23458177	0
6390241-1	30340563	0
6395427-6	30371597	1
6395427-6	25873086	1
6395427-6	29681780	1
6395427-6	30630744	1
6395427-6	32513902	1
6395427-6	29137032	1
6395427-6	23486330	1
6395427-6	25306157	1
6395427-6	17538171	0
6395427-6	30065620	1
6474058-1	32631238	0
6474058-1	25820110	0
6474058-1	28502975	0
6474058-1	27876001	0
6474058-1	32027573	0
6474058-1	20138467	0
6474058-1	33402156	0
6474058-1	23092660	0
6474058-1	26150634	0
6474058-1	15217185	0
6529526-1	21962163	1
6529526-1	19558301	0
6529526-1	20424441	1
6529526-1	25679283	1
6529526-1	19747055	1
6529526-1	18420725	0
6529526-1	32251825	0
6529526-1	21567138	0
6529526-1	20419329	0
6529526-1	10350208	0
6533988-1	21567368	1
6533988-1	21542825	0
6533988-1	26056797	0
6533988-1	7617088	1
6533988-1	30340552	1
6533988-1	29895474	1
6533988-1	24130771	1
6533988-1	21729272	1
6533988-1	7362359	0
6533988-1	7037337	1
6763404-1	30041681	1
6763404-1	27612448	1
6763404-1	12924654	1
6763404-1	21914155	0
6763404-1	22926552	0
6763404-1	24672666	0
6763404-1	16625103	1
6763404-1	24468017	1
6763404-1	26464729	0
6763404-1	22275725	0
6815289-1	22484984	1
6815289-1	21969163	1
6815289-1	15816612	1
6815289-1	17629872	1
6815289-1	23761417	1
6815289-1	9298887	1
6815289-1	31775674	1
6815289-1	25306157	0
6815289-1	30845308	1
6815289-1	28324142	0
6971944-3	31959205	1
6971944-3	17200308	1
6971944-3	15351672	0
6971944-3	8615096	1
6971944-3	7649647	0
6971944-3	19318867	0
6971944-3	14736475	0
6971944-3	21838074	0
6971944-3	22884722	1
6971944-3	16140828	1
7138425-1	32659736	0
7138425-1	32875578	0
7138425-1	10896703	0
7138425-1	34011131	0
7138425-1	23112246	0
7138425-1	23798279	0
7138425-1	32205382	0
7138425-1	9701483	0
7138425-1	29330273	0
7138425-1	22555127	0
7205359-1	9120969	0
7205359-1	20739047	0
7205359-1	20869918	0
7205359-1	9352710	0
7205359-1	16148674	1
7205359-1	17707022	0
7205359-1	15985082	0
7205359-1	10492225	0
7205359-1	17638558	0
7205359-1	21703118	0
7249276-1	17618180	1
7249276-1	34091704	1
7249276-1	28502975	1
7249276-1	16280952	0
7249276-1	33303503	1
7249276-1	24382535	1
7249276-1	32580215	1
7249276-1	19139478	1
7249276-1	26400725	1
7249276-1	21661712	1
7365775-1	26686496	1
7365775-1	3621730	1
7365775-1	11119662	1
7365775-1	15125128	1
7365775-1	32147333	1
7365775-1	27151700	1
7365775-1	32293417	1
7365775-1	17606785	1
7365775-1	20349880	1
7365775-1	14997101	1
7377917-1	17618180	1
7377917-1	32774637	1
7377917-1	27716425	0
7377917-1	22354360	0
7377917-1	33309013	1
7377917-1	24120349	0
7377917-1	18715797	0
7377917-1	25245721	0
7377917-1	20587974	1
7377917-1	17016483	1
7463383-1	27055712	0
7463383-1	23837759	0
7463383-1	30961608	1
7463383-1	33075318	0
7463383-1	28040715	0
7463383-1	8826912	0
7463383-1	17666129	0
7463383-1	33663455	1
