query-id	corpus-id	score
7463383-1	27055712	1
3881447-1	22563589	1
3881447-1	19949787	1
3881447-1	9023629	1
3881447-1	12892352	1
3881447-1	14677011	1
3881447-1	17968921	1
6971944-3	15213501	1
6971944-3	16642730	1
6971944-3	26655519	1
6971944-3	19318867	1
6971944-3	31959205	2
3875119-1	16527570	1
3846247-1	4023094	1
3846247-1	30717789	1
7205359-1	29043421	1
5139711-1	11684719	1
2955342-1	12112817	1
5885241-1	23917977	1
4808524-1	21752466	1
4808524-1	19841505	1
4395622-1	2008273	1
4320463-1	12483433	1
4320463-1	505048	1
4320463-1	19388608	1
8660594-1	18664783	1
8660594-1	12904852	1
8660594-1	23264099	1
8660594-1	26184985	1
3861379-1	7892057	1
3861379-1	19736481	1
7933630-1	25281259	1
7933630-1	10765941	1
7933630-1	25211404	1
7933630-1	28168342	1
4733512-1	21188395	1
5187490-1	16678041	1
5187490-1	18202441	1
5187490-1	17428274	1
5187490-1	17714363	1
5187490-1	25639881	1
5187490-1	12827536	1
6390241-1	27257797	1
6390241-1	25237200	1
8392561-1	22366795	1
8392561-1	33148345	1
8392561-1	19768372	1
8392561-1	34444269	2
6533988-1	27627812	1
6533988-1	20299374	1
3009623-1	16429900	1
5985621-1	16720088	1
5985621-1	10492695	1
5985621-1	20602048	1
5985621-1	15953284	1
3989831-1	5776550	1
3989831-1	9730474	1
8636214-2	30280641	1
7365775-1	30359781	1
7365775-1	28065478	1
3487218-1	11553959	1
7541294-1	21248655	1
7541294-1	27876028	1
3407741-1	9778111	1
3407741-1	7045129	1
3407741-1	3805057	1
3407741-1	10078141	1
5538051-1	22629166	1
7580380-1	17015125	1
7580380-1	16253697	1
7674723-1	23744440	1
7674723-1	17879417	1
7674723-1	18540976	1
7674723-1	21232116	2
7674723-1	19777620	1
7674723-1	26074715	1
4900393-1	24283197	1
4900393-1	19608028	1
4900393-1	24418731	1
1971264-1	9588894	1
1971264-1	15613856	1
1971264-1	15943997	1
1971264-1	34659607	1
1971264-1	15365079	1
6474058-1	30021734	1
6474058-1	29459947	1
6474058-1	6847798	1
5039271-1	25555420	1
5039271-1	29029010	1
5039271-1	32522746	1
5039271-1	19182676	1
5039271-1	16984867	1
8012739-1	7704889	1
8012739-1	22159251	1
8012739-1	14681652	1
8579522-1	11393115	1
7813979-1	16462454	1
4075891-1	19099104	1
4075891-1	6867325	1
7687846-1	19269682	1
7687846-1	31634685	1
7687846-1	31901612	1
3751027-3	21508006	1
3751027-3	17296855	1
3751027-3	16731472	1
3751027-3	20974761	1
3751027-3	18955400	1
3751027-3	10807445	1
8451002-1	3680714	1
8451002-1	32394361	1
6763404-1	27353398	1
6763404-1	20966166	1
6763404-1	8313332	1
7287196-1	31178151	1
7287196-1	28240671	1
3949340-1	10693887	1
3949340-1	17035427	1
8519172-1	31369670	1
8519172-1	29230940	1
8519172-1	33020445	1
8519172-1	24991763	1
8519172-1	17127079	1
8519172-1	23173582	1
8519172-1	26963576	1
8519172-1	23432384	1
6815289-1	33389148	1
6815289-1	26116920	1
6815289-1	8614381	1
6815289-1	2835144	1
4086693-1	16879770	1
4086693-1	12592360	1
4086693-1	11380469	1
4086693-1	14679114	1
4086693-1	20233200	1
4086693-1	16703198	1
4086693-1	17460420	1
4086693-1	11001674	1
6125275-2	19906110	1
6125275-2	2155591	1
6125275-2	18926232	1
6395427-6	25394176	1
6395427-6	28384794	1
6395427-6	24467715	1
6395427-6	21752896	1
6395427-6	28867159	1
6395427-6	20484225	1
6395427-6	33795528	1
6395427-6	26273102	1
6395427-6	33433885	1
6395427-6	12000816	1
6395427-6	24854530	1
6395427-6	25873086	1
6395427-6	26722403	1
6395427-6	14685938	1
6395427-6	23282968	1
6395427-6	29177515	1
3087283-1	7949820	1
3459811-1	19171385	1
2803931-1	11544821	1
2803931-1	17070744	1
2803931-1	15789325	1
4165973-1	8488947	1
4165973-1	19363043	1
4165973-1	18070182	1
8294413-2	32052373	1
8294413-2	32220650	1
8294413-2	32151335	1
8294413-2	14710102	1
7678886-1	17262855	1
7678886-1	21163445	1
7678886-1	22933737	1
7873792-1	31116109	1
7873792-1	28392094	1
5404173-1	12563429	1
7377917-1	18715797	1
8552972-1	25739812	1
8552972-1	19437573	1
3271477-1	10500930	1
4834819-1	17045102	1
4834819-1	25395111	1
