query-id	corpus-id	score
7665777-1	32320506	1
7665777-1	31064802	1
7665777-1	32312646	1
7665777-1	29023260	1
7665777-1	30113379	1
7665777-2	32320506	1
7665777-2	31064802	1
7665777-2	32312646	1
7665777-2	29023260	1
7665777-2	30113379	1
7665777-3	32320506	1
7665777-3	31064802	1
7665777-3	32312646	1
7665777-3	29023260	1
7665777-3	30113379	1
7665777-4	32320506	1
7665777-4	31064802	1
7665777-4	32312646	1
7665777-4	29023260	1
7665777-4	30113379	1
7665777-5	32320506	1
7665777-5	31064802	1
7665777-5	32312646	1
7665777-5	29023260	1
7665777-5	30113379	1
7665777-6	32320506	1
7665777-6	31064802	1
7665777-6	32312646	1
7665777-6	29023260	1
7665777-6	30113379	1
7665777-7	32320506	1
7665777-7	31064802	1
7665777-7	32312646	1
7665777-7	29023260	1
7665777-7	30113379	1
7665777-8	32320506	1
7665777-8	31064802	1
7665777-8	32312646	1
7665777-8	29023260	1
7665777-8	30113379	1
7665777-9	32320506	1
7665777-9	31064802	1
7665777-9	32312646	1
7665777-9	29023260	1
7665777-9	30113379	1
7665777-10	32320506	1
7665777-10	31064802	1
7665777-10	32312646	1
7665777-10	29023260	1
7665777-10	30113379	1
7665777-11	32320506	1
7665777-11	31064802	1
7665777-11	32312646	1
7665777-11	29023260	1
7665777-11	30113379	1
8674153-1	14566926	1
8674153-2	14566926	1
8674405-1	29863451	1
8674458-1	11517106	1
8674685-1	30281871	1
8674685-1	9611381	1
8674685-1	22879539	1
8675570-1	24251430	1
8675571-1	33882225	1
8675583-1	26497969	1
8675589-1	24240565	1
8675594-1	27217383	1
8675595-1	25056402	1
8675595-1	12006334	1
8675599-1	31902242	1
8675599-1	34614328	1
8675801-1	1806507	1
8691080-1	24331189	1
8693491-1	6671916	1
8693492-1	27539155	1
8693538-1	31601526	1
8693538-1	27040856	1
8693539-1	21387375	1
8693546-1	22835048	1
8693548-1	23139104	1
8693699-1	26209897	1
8693699-1	25329479	1
8694018-1	16891944	1
8695605-1	28272209	1
8695686-1	27097005	1
8695686-1	34357012	2
8695686-1	33973028	1
8695686-2	27097005	1
8695686-2	34357012	2
8695686-2	33973028	1
8695756-1	6893912	1
8695792-1	23291630	1
8695792-2	23291630	1
8695792-3	23291630	1
8695846-1	16338616	1
